Name moives,date,rate,
Iron Man,2 พฤษภาคม 2008,7.9,"819,301"
The Incredible Hulk,13 มิถุนายน 2008,6.8,"381,836"
Iron Man 2,7 พฤษภาคม 2010,7,"621,443"
Thor,6 พฤษภาคม 2011,7,"644,603"
Captain America: The First Avenger,22 กรกฎาคม 2011,6.9,"623,668"
The Avengers,4 พฤษภาคม 2012,8.1,"1,133,965"
Iron Man 3,3 พฤษภาคม 2013,7.2,"656,750"
Thor: The Dark World,8 พฤศจิกายน 2013,7,"508,281"
Captain America: The Winter Soldier,4 เมษายน 2014,7.8,"623,667"
Guardians of the Galaxy,1 สิงหาคม 2014,7.7,"423,955"
Avengers: Age of Ultron,1 พฤษภาคม 2015,7.4,"613,914"
Ant-Man,17 กรกฎาคม 2015,7.3,"458,887"
Captain America: Civil War,6 พฤษภาคม 2016,7.8,"532,959"
Doctor Strange,4 พฤศจิกายน 2016,7.5,"460,854"
Guardians of the Galaxy Vol. 2,5 พฤษภาคม 2017,7.7,"423,955"
Spider-Man: Homecoming,7 กรกฎาคม 2017,7.5,"371,367"
Thor: Ragnarok,3 พฤศจิกายน 2017,7.9,"405,569"
Black Panther,16 กุมภาพันธ์ 2018,7.4,"417,427"
Avengers: Infinity War,27 เมษายน 2018,8.5,"528,256"
Ant-Man and the Wasp,6 กรกฎาคม 2018,7.2,"154,165"
